,start_station_name,start_count,end_count,deficit,popularity
275,Columbia St & Lorraine St,87.0,90,-3.0,177.0
276,Columbia St & Rivington St,1222.0,1266,-44.0,2488.0
277,Columbia St & W 9 St,256.0,267,-11.0,523.0
278,Columbus Ave & W 103 St,234.0,200,34.0,434.0
279,Columbus Ave & W 72 St,3423.0,2901,522.0,6324.0
280,Columbus Ave & W 95 St,2366.0,2298,68.0,4664.0
281,Commerce St & Van Brunt St,186.0,183,3.0,369.0
282,Concord St & Bridge St,546.0,538,8.0,1084.0
283,Congress St & Clinton St,996.0,1025,-29.0,2021.0
284,Cooper Square & Astor Pl,3349.0,3461,-112.0,6810.0
285,Court St & Nelson St,461.0,468,-7.0,929.0
286,Court St & State St,1429.0,1455,-26.0,2884.0
287,Crescent St & 30 Ave,325.0,336,-11.0,661.0
288,Crescent St & 34 Ave,328.0,350,-22.0,678.0
289,Crescent St & 35 Ave,220.0,244,-24.0,464.0
290,Crescent St & Broadway,493.0,502,-9.0,995.0
291,Crescent St & Ditmars Blvd,230.0,223,7.0,453.0
292,Cumberland St & Lafayette Ave,677.0,678,-1.0,1355.0
293,Cypress Ave & George St,44.0,42,2.0,86.0
294,Cypress Ave & Palmetto St,79.0,76,3.0,155.0
295,DeKalb Ave & Franklin Ave,522.0,515,7.0,1037.0
296,DeKalb Ave & Hudson Ave,1231.0,1648,-417.0,2879.0
297,DeKalb Ave & S Portland Ave,866.0,896,-30.0,1762.0
298,DeKalb Ave & Vanderbilt Ave,864.0,808,56.0,1672.0
299,Dean St & 4 Ave,1226.0,1324,-98.0,2550.0
300,Dean St & Franklin Ave,789.0,812,-23.0,1601.0
301,Dean St & Hoyt St,608.0,613,-5.0,1221.0
302,Degraw St & Hoyt St,527.0,528,-1.0,1055.0
303,Degraw St & Smith St,686.0,719,-33.0,1405.0
304,Delancey St & Eldridge St,875.0,863,12.0,1738.0
305,Devoe St & Lorimer St,852.0,855,-3.0,1707.0
306,Devoe St & Morgan Ave,196.0,207,-11.0,403.0
307,Ditmars Blvd & 19 St,476.0,499,-23.0,975.0
308,Division Ave & Hooper St,427.0,464,-37.0,891.0
309,Division Ave & Marcy Ave,167.0,172,-5.0,339.0
310,Division St & Bowery,1559.0,1594,-35.0,3153.0
311,Dock 72 Way & Market St,406.0,410,-4.0,816.0
312,Douglass St & 3 Ave,634.0,675,-41.0,1309.0
313,Douglass St & 4 Ave,726.0,764,-38.0,1490.0
314,Driggs Ave & Lorimer St,736.0,734,2.0,1470.0
315,Driggs Ave & N 9 St,1519.0,1514,5.0,3033.0
316,Driggs Ave & N Henry St,809.0,801,8.0,1610.0
317,Duane St & Greenwich St,858.0,846,12.0,1704.0
318,Duffield St & Willoughby St,1128.0,1130,-2.0,2258.0
319,Dwight St & Van Dyke St,168.0,189,-21.0,357.0
320,E 10 St & 5 Ave,1862.0,1971,-109.0,3833.0
321,E 10 St & Avenue A,3338.0,3322,16.0,6660.0
322,E 102 St & 1 Ave,1031.0,1050,-19.0,2081.0
323,E 102 St & Park Ave,540.0,532,8.0,1072.0
324,E 103 St & Lexington Ave,744.0,738,6.0,1482.0
325,E 106 St & 1 Ave,474.0,487,-13.0,961.0
326,E 106 St & Lexington Ave,544.0,548,-4.0,1092.0
327,E 106 St & Madison Ave,482.0,479,3.0,961.0
328,E 109 St & 3 Ave,615.0,623,-8.0,1238.0
329,E 11 St & 1 Ave,2958.0,2886,72.0,5844.0
330,E 11 St & 2 Ave,3184.0,3204,-20.0,6388.0
331,E 11 St & Avenue B,2196.0,2107,89.0,4303.0
332,E 110 St & Madison Ave,983.0,1003,-20.0,1986.0
333,E 114 St & 1 Ave,530.0,553,-23.0,1083.0
334,E 115 St & Lexington Ave,496.0,498,-2.0,994.0
335,E 115 St & Madison Ave,407.0,399,8.0,806.0
336,E 116 St & 2 Ave,326.0,330,-4.0,656.0
337,E 118 St & 1 Ave,460.0,471,-11.0,931.0
338,E 118 St & 3 Ave,562.0,569,-7.0,1131.0
339,E 118 St & Madison Ave,444.0,437,7.0,881.0
340,E 118 St & Park Ave,305.0,306,-1.0,611.0
341,E 12 St & 3 Ave,2511.0,2526,-15.0,5037.0
342,E 12 St & Ave C,1243.0,1265,-22.0,2508.0
343,E 123 St & Lexington Ave,393.0,395,-2.0,788.0
344,E 128 St & Madison Ave,356.0,353,3.0,709.0
345,E 13 St & Avenue A,4767.0,4827,-60.0,9594.0
346,E 15 St & 3 Ave,3210.0,3227,-17.0,6437.0
347,E 16 St & 5 Ave,3014.0,3019,-5.0,6033.0
348,E 16 St & Irving Pl,1852.0,1831,21.0,3683.0
349,E 17 St & Broadway,5585.0,6179,-594.0,11764.0
350,E 19 St & 3 Ave,2162.0,2137,25.0,4299.0
351,E 2 St & 2 Ave,2247.0,2326,-79.0,4573.0
352,E 2 St & Avenue A,2760.0,2804,-44.0,5564.0
353,E 2 St & Avenue B,2759.0,2772,-13.0,5531.0
354,E 2 St & Avenue C,2242.0,1950,292.0,4192.0
355,E 20 St & 2 Ave,3425.0,3250,175.0,6675.0
356,E 20 St & FDR Drive,2350.0,2340,10.0,4690.0
357,E 20 St & Park Ave,2586.0,2587,-1.0,5173.0
358,E 23 St & 1 Ave,3110.0,3127,-17.0,6237.0
359,E 24 St & Park Ave S,3212.0,3145,67.0,6357.0
360,E 25 St & 1 Ave,2094.0,2070,24.0,4164.0
361,E 25 St & 2 Ave,3479.0,3340,139.0,6819.0
362,E 27 St & 1 Ave,2389.0,2446,-57.0,4835.0
363,E 30 St & Park Ave S,2125.0,2115,10.0,4240.0
364,E 31 St & 3 Ave,3146.0,3174,-28.0,6320.0
365,E 32 St & Park Ave,3441.0,3239,202.0,6680.0
366,E 33 St & 1 Ave,3852.0,3949,-97.0,7801.0
367,E 33 St & 5 Ave,2283.0,2246,37.0,4529.0
368,E 39 St & 2 Ave,3545.0,3521,24.0,7066.0
369,E 39 St & 3 Ave,2634.0,2641,-7.0,5275.0
370,E 4 St & 2 Ave,2919.0,2947,-28.0,5866.0
371,E 41 St & Madison Ave,1514.0,1520,-6.0,3034.0
372,E 43 St & 2 Ave,1466.0,1360,106.0,2826.0
373,E 43 St & 5 Ave,1931.0,1766,165.0,3697.0
374,E 45 St & 3 Ave,1795.0,1817,-22.0,3612.0
375,E 47 St & 1 Ave,1068.0,1097,-29.0,2165.0
376,E 47 St & 2 Ave,1871.0,1831,40.0,3702.0
377,E 47 St & Park Ave,4139.0,4191,-52.0,8330.0
378,E 48 St & 3 Ave,1422.0,1394,28.0,2816.0
379,E 48 St & 5 Ave,2273.0,2287,-14.0,4560.0
380,E 5 St & Avenue C,1450.0,1491,-41.0,2941.0
381,E 51 St & 1 Ave,1811.0,1782,29.0,3593.0
382,E 51 St & 2 Ave,1424.0,1449,-25.0,2873.0
383,E 51 St & Lexington Ave,1464.0,1480,-16.0,2944.0
384,E 53 St & Lexington Ave,2747.0,2782,-35.0,5529.0
385,E 53 St & Madison Ave,1538.0,1491,47.0,3029.0
386,E 55 St & 2 Ave,2456.0,2467,-11.0,4923.0
387,E 56 St & 3 Ave,1504.0,1534,-30.0,3038.0
388,E 56 St & Madison Ave,817.0,804,13.0,1621.0
389,E 58 St &  1 Ave (NW Corner),1254.0,1305,-51.0,2559.0
390,E 58 St & 1 Ave (NE Corner),766.0,753,13.0,1519.0
391,E 58 St & 3 Ave,2276.0,2304,-28.0,4580.0
392,E 58 St & Madison Ave,1027.0,1018,9.0,2045.0
393,E 59 St & Madison Ave,1244.0,1214,30.0,2458.0
394,E 6 St & Avenue B,2807.0,2658,149.0,5465.0
395,E 6 St & Avenue D,2030.0,2016,14.0,4046.0
396,E 60 St & York Ave,892.0,875,17.0,1767.0
397,E 63 St & 3 Ave,978.0,951,27.0,1929.0
398,E 65 St & 2 Ave,923.0,912,11.0,1835.0
399,E 66 St & Madison Ave,701.0,687,14.0,1388.0
400,E 67 St & Park Ave,700.0,692,8.0,1392.0
401,E 68 St & 3 Ave,848.0,834,14.0,1682.0
402,E 68 St & Madison Ave,567.0,539,28.0,1106.0
403,E 7 St & Avenue A,3107.0,3046,61.0,6153.0
404,E 72 St & Park Ave,922.0,922,0.0,1844.0
405,E 72 St & York Ave,2234.0,2247,-13.0,4481.0
406,E 74 St & 1 Ave,1856.0,1832,24.0,3688.0
407,E 75 St & 3 Ave,1119.0,1125,-6.0,2244.0
408,E 76 St & Park Ave,979.0,987,-8.0,1966.0
409,E 77 St & 3 Ave,1151.0,1144,7.0,2295.0
410,E 78 St & 2 Ave,797.0,810,-13.0,1607.0
411,E 81 St & 2 Ave,1318.0,1276,42.0,2594.0
412,E 81 St & 3 Ave,1080.0,1073,7.0,2153.0
413,E 81 St & Park Ave,564.0,536,28.0,1100.0
414,E 81 St & York Ave,1461.0,1338,123.0,2799.0
415,E 82 St & East End Ave,954.0,950,4.0,1904.0
416,E 84 St & 1 Ave,1648.0,1666,-18.0,3314.0
417,E 84 St & Park Ave,1140.0,1019,121.0,2159.0
418,E 85 St & 3 Ave,2373.0,2386,-13.0,4759.0
419,E 85 St & York Ave,959.0,954,5.0,1913.0
420,E 88 St & 1 Ave,1508.0,1522,-14.0,3030.0
421,E 88 St & Park Ave,825.0,833,-8.0,1658.0
422,E 89 St & 3 Ave,1215.0,1187,28.0,2402.0
423,E 89 St & York Ave,1054.0,1049,5.0,2103.0
424,E 9 St & Avenue C,2212.0,2094,118.0,4306.0
425,E 91 St & 2 Ave,1497.0,1504,-7.0,3001.0
426,E 91 St & Park Ave,894.0,880,14.0,1774.0
427,E 93 St & 2 Ave,715.0,703,12.0,1418.0
428,E 95 St & 3 Ave,598.0,585,13.0,1183.0
429,E 97 St & 3 Ave,509.0,506,3.0,1015.0
430,E 97 St & Madison Ave,1037.0,1035,2.0,2072.0
431,E 98 St & Park Ave,349.0,340,9.0,689.0
432,East End Ave & E 86 St,716.0,709,7.0,1425.0
433,Eastern Pkwy & Franklin Ave,852.0,741,111.0,1593.0
434,Eastern Pkwy & Washington Ave,476.0,407,69.0,883.0
435,Eldert St & Bushwick Ave,96.0,100,-4.0,196.0
436,Emerson Pl & Myrtle Ave,885.0,890,-5.0,1775.0
437,Engert Ave & McGuinness Blvd,266.0,277,-11.0,543.0
438,Evergreen Ave & Noll St,195.0,159,36.0,354.0
439,FDR Drive & E 35 St,3574.0,3557,17.0,7131.0
440,Fairview Ave & Linden St,63.0,62,1.0,125.0
441,Flushing Ave & Vanderbilt Ave,967.0,1005,-38.0,1972.0
442,Flushing Ave & Woodward Ave,112.0,117,-5.0,229.0
443,Forest Ave & Summerfield St,149.0,158,-9.0,307.0
444,Forsyth St & Broome St,2136.0,2132,4.0,4268.0
445,Forsyth St & Canal St,2403.0,2441,-38.0,4844.0
446,Franklin Ave & Empire Blvd,1054.0,1066,-12.0,2120.0
447,Franklin Ave & Myrtle Ave,329.0,354,-25.0,683.0
